unit,question_number,question_text,taxonomy_level,course_outcome,marks,has_or
4,6,"a) Explain insertion sort with an algorithm and example.   [5M]
b) Design  a program to demonstrate insertion sort.   [7M]",2,4,12,False
4,7,"a) Explain bubble sort with an algorithm and example.   [5M]
b) Design  a program to demonstrate bubble sort.   [7M]",2,4,12,False
4,8,"a) Explain selection sort with an algorithm and example.   [5M]
b) Design  a program to demonstrate selection sort.   [7M]",2,4,12,False
4,9,"a) Prepare  an algorithm for Quick sort with example.   [6M]
b) Prepare  an algorithm for Merge sort with example.   [6M]",3,4,12,False
4,10,Differentiate various sorting techniques with time complexity.   [12M],4,4,12,False
5,1,"a) Define Graph. List out various graph operations?   [4M]
b) What are the various applications and properties of Graphs ?  [8M]",1,5,12,False
5,2,"a) Discuss BFS Graph Traversal with an algorithm.   [3M]
b) Explain BFS Graph traversal with steps for the following Graph .
 [9M]",2,5,12,False
5,3,What is a Graph ? Explain various Graph terminologies .  [12M],2,5,12,False
5,4,"a) Discuss DFS Graph Traversal with an algorithm.   [3M]
b) Explain DFS Graph traversal with steps for the following Graph .
 [9M]",2,5,12,False
5,5,"a) What is minimum  – cost spanning tree?   [4M]
b) Prepare an algorithm for Prim’s with example.   [8M]",1,5,12,False
5,6,"a) Discuss how to represent Graph storage using Adjacency matrix.   [7M]
b) Briefly explain about Adjacency List with example.   [5M]",2,5,12,False
5,7,Illustrate the steps for  Dijkstra’s algorithm with an example.   [12M],3,5,12,False
5,8,Explain about shortest path problem  with an algorithm and example.   [12M],2,5,12,False
5,9,Explain in detail about various minimum cost spanning tree algorithms.   [12M],2,5,12,False
5,10,Discuss and compare various graph traversals.   [12M],5,5,12,False
